                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      author	                                                                                                                                                                                                                                                                                                           title	    year	                                       doi
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        Middleton A. and Fritz S. L. and Liuzzo D. M. and Newman-Norlund R. and Herter T. M.	                                                                                                            Using clinical and robotic assessment tools to examine the feasibility of pairing tDCS with upper extremity physical therapy in patients with stroke and TBI: a consideration-of-concept pilot study	    2014	                        10.3233/nre-141178
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            Crane A. K. and Geller E. J. and Sullivan S. and Robinson B. L. and Myers E. M. and Horton C. and Matthews C. A.	                                                                                                                                                                                                                 Short-term mesh exposure after robotic sacrocolpopexy with and without concomitant hysterectomy	    2014	             10.14423/smj.0000000000000170
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         Kwon J. M. and Lee Y. and Lee Y. and Lee S. and Park H. and Park J.	                                                                                                                                                                                                                        Validation of deep-learning-based triage and acuity score using a large national dataset	    2018	              10.1371/journal.pone.0205836
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             Govednik C. M. and Snyder S. K. and Quinn C. E. and Saxena S. and Jupiter D. C.	                                                                                                                                                                                                       Minimally invasive, nonendoscopic thyroidectomy: a cosmetic alternative to robotic-assisted thyroidectomy	    2014	                10.1016/j.surg.2014.06.056
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  Blouin M. and Lalumiere M. and Gagnon D. H. and Chenier F. and Aissaoui R.	                                                                                                                                                      Characterization of the immediate effect of a training session on a manual wheelchair simulator with haptic biofeedback: towards more effective propulsion	    2015	                10.1109/tnsre.2014.2330837
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               Bahig H. and Filion E. and Vu T. and Roberge D. and Lambert L. and Bouchard M. and Lavoie C. and Doucet R. and Nadeau D. B. and Chalaoui J. and Campeau M. P.	                                                                                                                                                                                   Excellent Cancer Outcomes Following Patient-adapted Robotic Lung SBRT But a Case for Caution in Idiopathic Pulmonary Fibrosis	    2015	                  10.7785/tcrt.2012.500445
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Azimi P. and Mohammadi H. R. and Benzel E. C. and Shahzadi S. and Azhari S. and Montazeri A.	                                                                                                                                                                                                                                                                      Artificial neural networks in neurosurgery	    2015	                  10.1136/jnnp-2014-307807
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           Ward A. F. and Loulmet D. F. and Neuburger P. J. and Grossi E. A.	                                                                                                                                                                                                Outcomes of peripheral perfusion with balloon aortic clamping for totally endoscopic robotic mitral valve repair	    2014	               10.1016/j.jtcvs.2014.05.035
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   Perry K. A. and Kanji A. and Drosdeck J. M. and Linn J. G. and Chan A. and Muscarella P. and Melvin W. S.	                                                                                                                                                                                       Efficacy and durability of robotic Heller myotomy for achalasia: patient symptoms and satisfaction at long-term follow-up	    2014	                 10.1007/s00464-014-3576-9
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    Niu X. and Varoqui D. and Kindig M. and Mirbagheri M. M.	                                                                                                                                                                                                               Prediction of gait recovery in spinal cord injured individuals trained with robotic gait orthosis	    2014	                   10.1186/1743-0003-11-42
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              del-Ama A. J. and Gil-Agudo A. and Pons J. L. and Moreno J. C.	                                                                                                                                                                                                                              Hybrid FES-robot cooperative control of ambulatory gait rehabilitation exoskeleton	    2014	                   10.1186/1743-0003-11-27
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Velchuru V. R. and Domajnko B. and deSouza A. and Marecik S. and Prasad L. M. and Park J. J. and Abcarian H.	                                                                                                                                                                                             Obesity increases the risk of postoperative peripheral neuropathy after minimally invasive colon and rectal surgery	    2014	              10.1097/dcr.0000000000000037
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       Esclarin-Ruz A. and Alcobendas-Maestro M. and Casado-Lopez R. and Perez-Mateos G. and Florido-Sanchez M. A. and Gonzalez-Valdizan E. and Martin J. L.	                                                                                                                                             A comparison of robotic walking therapy and conventional walking therapy in individuals with upper versus lower motor neuron lesions: a randomized controlled trial	    2014	                10.1016/j.apmr.2013.12.017
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        Roberts A. L. and Gladish N. and Gatev E. and Jones M. J. and Chen Y. and MacIsaac J. L. and Tworoger S. S. and Austin S. B. and Tanrikut C. and Chavarro J. E. and Baccarelli A. A. and Kobor M. S.	                                                                                                                                                                                                                                      Exposure to childhood abuse is associated with human sperm DNA methylation	    2018	                 10.1038/s41398-018-0252-1
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    Fecteau S. and Levasseur-Moreau J. and Garcia-Molina A. and Kumru H. and Vergara R. P. and Bernabeu M. and Roig T. and Pascual-Leone A. and Tormos J. M.	                                                                                                                                                                                                                               Risk taking in hospitalized patients with acute and severe traumatic brain injury	    2013	              10.1371/journal.pone.0083598
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     Junfeng Z. and Yan S. and Bo T. and Yingxue H. and Dongzhu Z. and Yongliang Z. and Feng Q. and Peiwu Y.	                                                                                                                                                                              Robotic gastrectomy versus laparoscopic gastrectomy for gastric cancer: comparison of surgical performance and short-term outcomes	    2014	                 10.1007/s00464-013-3385-6
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            Klamroth-Marganska V. and Blanco J. and Campen K. and Curt A. and Dietz V. and Ettlin T. and Felder M. and Fellinghauer B. and Guidali M. and Kollmar A. and Luft A. and Nef T. and Schuster-Amft C. and Stahel W. and Riener R.	                                                                                                                                                                                          Three-dimensional, task-specific robot therapy of the arm after stroke: a multicentre, parallel-group randomised trial	    2014	             10.1016/s1474-4422(13)70305-3
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               Barboglio P. G. and Toler A. J. and Triaca V.	                                                                                                                                                                                   Robotic sacrocolpopexy for the management of pelvic organ prolapse: a review of midterm surgical and quality of life outcomes	    2014	              10.1097/spv.0000000000000047
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        Do A. H. and Wang P. T. and King C. E. and Chun S. N. and Nenadic Z.	                                                                                                                                                                                                                                                       Brain-computer interface controlled robotic gait orthosis	    2013	                  10.1186/1743-0003-10-111
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            Bevevino A. J. and Dickens J. F. and Potter B. K. and Dworak T. and Gordon W. and Forsberg J. A.	                                                                                                                                                                                                                               A model to predict limb salvage in severe combat-related open calcaneus fractures	    2014	                 10.1007/s11999-013-3382-z
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  Otsuki H. and Kuwahara Y. and Nakamura K. and Tsukamoto T.	                                                                                                                                                                              [Comparison of initial results with robotic-assisted laparoscopic radical prostatectomy and open retropubic radical prostatectomy]	    2013	                  10.5980/jpnjurol.104.635
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               Vidovszky T. J. and Carr A. D. and Farinholt G. N. and Ho H. S. and Smith W. H. and Ali M. R.	                                                                                                                                                                                                              Single-site robotic cholecystectomy in a broadly inclusive patient population: a prospective study	    2014	              10.1097/sla.0000000000000295
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        Ryan N. P. and Anderson V. and Godfrey C. and Beauchamp M. H. and Coleman L. and Eren S. and Rosema S. and Taylor K. and Catroppa C.	                                                                                                                                                      Predictors of very-long-term sociocognitive function after pediatric traumatic brain injury: evidence for the vulnerability of the immature "social brain"	    2014	                     10.1089/neu.2013.3153
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             Tsvetkova E. M.	                                                                                                                                                                                                        [The early rehabilitation of the patients with shoulder impingement syndrome using robotic technologies]	    2013	                                          
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      Kim J. and Lee B. S. and Lee H. J. and Kim H. R. and Cho D. Y. and Lim J. E. and Kim J. J. and Kim H. Y. and Han Z. A.	                                                                                                                                                                                                 Clinical efficacy of upper limb robotic therapy in people with tetraplegia: a pilot randomized controlled trial	    2019	                 10.1038/s41393-018-0190-z
